BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	cell_line_s	cell_type_s	compartment_s	genotype_s	knockdown_s	source_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN03481306	SRX993486	2015-04-13	7600	3576	2016-02-21	SRR1971721	SRS908065	GSM1656741	<not provided>	E18.5 cortical neurons	soma	Mbnl2 KO	<not provided>	Mbnl2 KO E18.5 cortical neurons soma	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481307	SRX993487	2015-04-13	6938	3271	2016-02-21	SRR1971722	SRS908064	GSM1656742	<not provided>	E18.5 cortical neurons	neurite	Mbnl2 KO	<not provided>	Mbnl2 KO E18.5 cortical neurons neurite	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481308	SRX993488	2015-04-13	3970	1861	2016-02-21	SRR1971723	SRS908063	GSM1656743	<not provided>	E18.5 cortical neurons	neurite	Mbnl2 KO	<not provided>	Mbnl2 KO E18.5 cortical neurons neurite	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481275	SRX993455	2015-04-13	5143	3597	2016-02-21	SRR1971690	SRS908096	GSM1656710	N2A cells	<not provided>	soma	<not provided>	<not provided>	N2A cells soma	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481274	SRX993454	2015-04-13	5011	3764	2016-02-21	SRR1971689	SRS908097	GSM1656709	N2A cells	<not provided>	soma	<not provided>	<not provided>	N2A cells soma	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481273	SRX993453	2015-04-13	5267	3946	2016-02-21	SRR1971688	SRS908098	GSM1656708	N2A cells	<not provided>	soma	<not provided>	<not provided>	N2A cells soma	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481309	SRX993489	2015-04-16	6047	4296	2016-02-21	SRR1971724	SRS908062	GSM1656744	CAD cells undifferentiated	<not provided>	<not provided>	<not provided>	<not provided>	CAD cells undifferentiated	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481310	SRX993490	2015-04-13	4372	3085	2016-02-21	SRR1971726	SRS908061	GSM1656745	CAD cells undifferentiated	<not provided>	<not provided>	<not provided>	<not provided>	CAD cells undifferentiated	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481311	SRX993491	2015-04-16	6141	4368	2016-02-21	SRR1971727	SRS908060	GSM1656746	CAD cells differentiated	<not provided>	<not provided>	<not provided>	<not provided>	CAD cells differentiated	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN03481312	SRX993492	2015-04-13	4526	3209	2016-02-21	SRR1971729	SRS908059	GSM1656747	CAD cells differentiated	<not provided>	<not provided>	<not provided>	<not provided>	CAD cells differentiated	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536597	SRX1617816	2016-03-07	9043	3208	2016-04-08	SRR3209143	SRS1327102	GSM2082774	<not provided>	<not provided>	soma	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536598	SRX1617817	2016-03-07	13135	4823	2016-04-08	SRR3209144	SRS1327101	GSM2082775	<not provided>	<not provided>	soma	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536599	SRX1617818	2016-03-07	19092	7068	2016-04-08	SRR3209145	SRS1327100	GSM2082776	<not provided>	<not provided>	neurite	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536600	SRX1617819	2016-03-07	8200	2916	2016-04-08	SRR3209146	SRS1327099	GSM2082777	<not provided>	<not provided>	neurite	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536601	SRX1617820	2016-03-07	7544	2688	2016-04-08	SRR3209147	SRS1327098	GSM2082778	<not provided>	<not provided>	soma	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536602	SRX1617821	2016-03-07	7277	2591	2016-04-08	SRR3209148	SRS1327097	GSM2082779	<not provided>	<not provided>	soma	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536603	SRX1617822	2016-03-07	7691	2745	2016-04-08	SRR3209149	SRS1327096	GSM2082780	<not provided>	<not provided>	neurite	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
SAMN04536604	SRX1617823	2016-03-07	8014	2938	2016-04-08	SRR3209150	SRS1327095	GSM2082781	<not provided>	<not provided>	neurite	<not provided>	<not provided>	E18.5 mouse cortical neurons	RNA-Seq	<not provided>	PRJNA281008	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Mus musculus	ILLUMINA	SRP057123	<not provided>	<not provided>	<not provided>
